,movieId,director
166,196,Roger Donaldson
167,198,Kathryn Bigelow
168,199,Jacques Demy
169,201,Martha Coolidge
170,202,Agnieszka Holland
171,203,Beeban Kidron
172,204,Geoff Murphy
173,205,Diane Keaton
174,206,Douglas Keeve
175,207,Alfonso Arau
176,208,Kevin Reynolds
177,209,Desmond Nakano
178,210,Walter Hill
179,211,Mike Figgis
180,212,Greg Beeman
181,213,Nikita Mikhalkov
182,214,Milcho Manchevski
183,215,Richard Linklater
184,216,Tamra Davis
185,217,Guy Ferland
186,218,Herbert Ross
187,219,Peter Horton
188,220,Stuart Gordon
189,222,Pat O'Connor
190,223,Kevin Smith
191,224,Jeremy Leven
192,225,Barry Levinson
193,227,John Badham
194,228,Jack Baran
195,229,Roman Polanski
196,230,Taylor Hackford
197,231,Peter Farrelly
198,232,Ang Lee
199,233,Atom Egoyan
200,234,Garry Marshall
201,235,Tim Burton
202,236,Lawrence Kasdan
203,237,Billy Crystal
204,238,Phillip Borsos
205,239,Kevin Lima
206,240,Brett Leonard
207,241,Carlo Carlei
208,242,Gérard Corbiau
209,243,Mark Lewis
210,246,Steve James
211,247,Peter Jackson
212,248,Randall Miller
213,249,Bernard Rose
214,250,Steven Brill
215,251,J.F. Lawton
216,252,Fred Schepisi
217,253,Neil Jordan
218,254,James Ivory
219,255,James Melkonian
220,256,Ivan Reitman
221,257,Arne Glimcher
222,258,Michael Gottlieb
223,259,Barbet Schroeder
224,260,George Lucas
225,261,Gillian Armstrong
226,262,Alfonso Cuarón
227,263,Ken Loach
228,265,Alfonso Arau
229,266,Edward Zwick
230,267,Nick Castle
231,269,Allison Anders
232,270,Glenn Gordon Caron
233,271,Stephen Gyllenhaal
234,272,Nicholas Hytner
235,273,Kenneth Branagh
236,274,James Orr
237,275,Nora Ephron
238,276,Richard Benjamin
239,277,Les Mayfield
240,278,David Frankel
241,279,Gregory Nava
242,280,Marc Rocco
243,281,Robert Benton
244,282,Michael Apted
245,283,Nick Gomez
246,284,Tôru Murakawa
247,285,Vadim Jean
248,287,Alan Jacobs
249,288,Oliver Stone
250,289,Norman Jewison
251,290,Lee Tamahori
252,291,Anne Goursaud
253,292,Wolfgang Petersen
254,293,Luc Besson
255,294,Mira Nair
256,295,Joshua Brand
257,296,Quentin Tarantino
258,298,Ang Lee
259,299,Antonia Bird
260,300,Robert Redford
261,301,Kayo Hatta
262,302,Patrice Chéreau
263,303,Sam Raimi
264,304,Peter Yates
265,305,Robert Altman
266,306,Krzysztof Kieslowski
267,307,Krzysztof Kieslowski
268,308,Krzysztof Kieslowski
269,310,Fred Gerber
270,311,George Mihalka
271,312,Harold Ramis
272,313,Richard Rich
273,314,John Sayles
274,315,Luis Llosa
275,316,Roland Emmerich
276,317,John Pasquin
277,318,Frank Darabont
278,319,Danny Boyle
279,320,Scott McGehee
280,321,Tomás Gutiérrez Alea
281,322,George Huang
282,324,Geoff Burton
283,325,Kelly Makin
284,326,Yimou Zhang
285,327,Rachel Talalay
286,328,Ernest R. Dickerson
287,329,David Carson
288,330,Rusty Cundieff
289,331,Brian Gilbert
290,332,John Carpenter
291,333,Peter Segal
292,334,Louis Malle
293,335,Steven Soderbergh
294,336,Preston A. Whitmore II
295,337,Lasse Hallström
296,338,Brett Leonard
297,339,Jon Turteltaub
298,340,Jon Avnet
299,341,Mina Shum
300,342,P.J. Hogan
301,343,Melanie Mayron
302,344,Tom Shadyac
303,345,Stephan Elliott
304,346,Iain Softley
305,347,Roman Polanski
306,348,Woody Allen
307,349,Phillip Noyce
308,350,Joel Schumacher
309,351,Jessie Nelson
310,352,Spike Lee
311,353,Alex Proyas
312,354,Ron Shelton
313,355,Brian Levant
314,356,Robert Zemeckis
315,357,Mike Newell
316,358,John Singleton
317,359,Darnell Martin
318,360,Charles Shyer
319,361,Andrew Bergman
320,362,Stephen Sommers
321,363,Ray Müller
322,364,Roger Allers
323,365,Bernardo Bertolucci
324,366,Wes Craven
325,367,Chuck Russell
326,368,Richard Donner
327,369,Alan Rudolph
328,370,Peter Segal
329,371,Ron Howard
330,372,Ben Stiller
331,373,John Dahl
332,374,Donald Petrie
333,376,Curtis Hanson
334,377,Jan de Bont
335,378,Ron Underwood
336,379,Peter Hyams
337,380,James Cameron
338,381,Luis Mandoki
339,382,Mike Nichols
340,383,Lawrence Kasdan
341,384,Damian Harris
342,385,Suri Krishnamma
343,386,Jefery Levy
344,387,Keenen Ivory Wayans
345,388,Robert Lee King
346,389,Yves Angelo
347,390,Russ Meyer
348,391,Doug McHenry
349,393,Steven E. de Souza
350,405,Andrew Morahan
351,406,Michael Corrente
352,407,John Carpenter
353,408,John G. Avildsen
354,409,Jeff Pollack
355,410,Barry Sonnenfeld
356,412,Martin Scorsese
357,413,Michael Lehmann
358,414,Paul Michael Glaser
359,415,John Badham
360,416,Jonathan Kaplan
361,417,Whit Stillman
362,418,Bill Forsyth
363,419,Penelope Spheeris
364,420,John Landis
365,421,Caroline Thompson
366,422,Michael Apted
367,423,Stephen Hopkins
368,424,William Friedkin
369,425,Tony Richardson
370,426,Abel Ferrara
371,427,Jennifer Lynch
372,428,Robert De Niro
373,429,Adam Resnick
374,430,John Whitesell
375,431,Brian De Palma
376,432,Paul Weiland
377,433,Mick Jackson
378,434,Renny Harlin
379,435,Steve Barron
380,436,Richard Rush
381,437,Michael Ritchie
382,438,Gregg Champion
383,440,Ivan Reitman
384,441,Richard Linklater
385,442,Marco Brambilla
386,444,Gus Van Sant
387,445,Carl Reiner
388,446,Kaige Chen
389,448,Peter Weir
390,449,Rusty Cundieff
391,450,Alek Keshishian
392,451,Steve Kloves
393,452,John Irvin
394,453,Barry Sonnenfeld
395,454,Sydney Pollack
396,455,Simon Wincer
397,456,Boaz Yakin
398,457,Andrew Davis
399,458,Walter Hill
400,459,Roger Donaldson
401,460,Howard Deutch
402,461,Rose Troche
403,464,John Woo
404,466,Jim Abrahams
405,467,Julianna Lavin
406,468,Christopher Monger
407,469,Bille August
408,470,Eric Meza
409,471,Joel Coen
410,472,James L. Brooks
411,473,Daniel Petrie Jr.
412,474,Wolfgang Petersen
413,475,Jim Sheridan
414,476,Matty Rich
415,477,Brian Gibson
416,478,Barry Levinson
417,479,Stephen Hopkins
418,480,Steven Spielberg
419,481,Dominic Sena
420,482,Roger Avary
421,484,Daniel Petrie
422,485,John McTiernan
423,486,James Lapine
424,487,Simon Wincer
425,488,David Cronenberg
426,489,Richard Benjamin
427,490,Harold Becker
428,491,Mel Gibson
429,492,Woody Allen
430,493,Albert Hughes
431,494,Stuart Baird
432,495,Nagisa Ôshima
433,496,Tom Noonan
434,497,Kenneth Branagh
435,499,Anthony Minghella
436,500,Chris Columbus
437,501,Mike Leigh
438,502,Christopher Cain
439,504,Martin Campbell
440,505,Rob Reiner
441,506,Sally Potter
442,507,Clint Eastwood
443,508,Jonathan Demme
444,509,Jane Campion
445,510,John Singleton
446,511,David S. Ward
447,512,Stuart Orme
448,513,Mel Smith
449,514,Ted Demme
450,515,James Ivory
451,516,Penny Marshall
452,517,Philip Kaufman
453,518,Alan Parker
454,519,Fred Dekker
455,520,Mel Brooks
456,521,Peter Medak
457,522,Geoffrey Wright
458,523,Victor Nunez
459,524,David Anspaugh
460,526,Cyril Collard
461,527,Steven Spielberg
462,528,Michael Ritchie
463,529,Steven Zaillian
464,531,Agnieszka Holland
465,532,John Waters
466,533,Russell Mulcahy
467,534,Richard Attenborough
468,535,Robert Altman
469,536,Gillies MacKinnon
470,537,John Duigan
471,538,Fred Schepisi
472,539,Nora Ephron
473,540,Phillip Noyce
474,541,Ridley Scott
475,542,Steve Rash
476,543,Thomas Schlamme
477,544,Rowdy Herrington
478,546,Annabel Jankel
479,547,Ernest R. Dickerson
480,548,Deran Sarafian
481,549,François Girard
482,550,Andrew Fleming
483,551,Henry Selick
484,552,Stephen Herek
485,553,George P. Cosmatos
486,555,Tony Scott
487,556,Chris Hegedus
488,558,Pixote Hunt
489,562,Todd Solondz
490,563,Claude Berri
491,564,Dennis Hopper
492,567,Pedro Almodóvar
493,568,Gurinder Chadha
494,569,Andrew Scheinman
495,573,Lina Wertmüller
496,574,David O. Russell
497,575,Penelope Spheeris
498,577,George Miller
499,579,Ricky Tognazzi
500,580,Michael Austin
501,581,Rob Epstein
502,583,Nanni Moretti
503,585,Betty Thomas
504,586,Chris Columbus
505,587,Jerry Zucker
506,588,Ron Clements
507,589,James Cameron
508,590,Kevin Costner
509,592,Tim Burton
510,593,Jonathan Demme
511,594,William Cottrell
512,595,Gary Trousdale
513,596,Norman Ferguson
514,597,Garry Marshall
515,599,Sam Peckinpah
516,600,C.M. Talkington
517,602,Jean Bach
518,605,Michael Hoffman
519,606,Bill Condon
520,608,Joel Coen
521,609,David R. Ellis
522,610,Gerald Potterton
523,611,Kevin Yagher
524,612,Matt Reeves
525,613,Franco Zeffirelli
526,615,Franco Brusati
527,616,Wolfgang Reitherman
528,617,Pedro Almodóvar
529,618,Fernando Trueba
530,619,Bill Couturié
531,626,Martin Lawrence
532,627,Stacy Title
533,628,Gregory Hoblit
534,631,Larry Leker
535,632,Ken Loach
536,633,Hal Salwen
537,634,Jonathan R. Betuel
538,635,Richard Pearce
539,636,Todd Verow
540,637,Jonathan Lynn
541,638,Tim Sullivan
542,639,Spike Lee
543,640,Jeremiah S. Chechik
544,645,Claude Sautet
545,647,Edward Zwick
546,648,Brian De Palma
547,649,Friðrik Þór Friðriksson
548,650,Pen Densham
549,653,Rob Cohen
550,656,Steve Rash
551,661,Henry Selick
552,662,James Foley
553,663,Kelly Makin
554,665,Emir Kusturica
555,667,Alan Mehrez
556,668,Satyajit Ray
557,670,Satyajit Ray
558,671,Jim Mallon
559,673,Joe Pytka
560,674,Roger Vadim
561,678,George Hickenlooper
562,679,Peter Yates
563,680,Jean-Luc Godard
564,685,Randal Kleiser
565,688,Simon Wincer
566,691,Richard Benjamin
567,692,Norberto Barba
568,694,Robert Mandel
569,695,Pat Verducci
570,697,Steven Baigelman
571,698,Zalman King
572,700,Patrick Read Johnson
573,703,Stacy Cochran
574,704,Jean-Claude Van Damme
575,706,Steve Gomer
576,707,Lee Tamahori
577,708,Michael Lehmann
578,709,George Scribner
579,710,Tom DeCerchio
580,711,Alan Shapiro
581,714,Jim Jarmusch
582,715,Jean-Paul Rappeneau
583,718,Jean-Marie Poiré
584,719,Harold Ramis
585,722,Brett Thompson
586,724,Andrew Fleming
587,725,Reginald Hudlin
588,726,Bruce Beresford
589,728,John Schlesinger
590,731,Phil Joanou
591,733,Michael Bay
592,735,Michele Soavi
593,736,Jan de Bont
594,737,David Hogan
595,741,Mamoru Oshii
596,742,Tom Holland
597,743,Rick Friedberg
598,745,Nick Park
599,747,John Landis
600,748,David Twohy
601,750,Stanley Kubrick
602,757,Kar-Wai Wong
603,759,Freida Lee Mock
604,760,Joseph Vilsmaier
605,761,Simon Wincer
606,762,Andrew Bergman
607,764,James Mangold
608,765,Francis Ford Coppola
609,766,Mary Harron
610,773,Djibril Diop Mambéty
611,775,Federico Fellini
612,778,Danny Boyle
613,779,Scott Winant
614,780,Roland Emmerich
615,781,Bernardo Bertolucci
616,782,Tony Scott
617,783,Gary Trousdale
618,784,Ben Stiller
619,785,Bobby Farrelly
620,786,Chuck Russell
621,788,Tom Shadyac
622,790,Lucian Pintilie
623,795,Yale Strom
624,798,Alexandre Rockwell
625,799,Rob Cohen
626,800,Peter Jackson
627,801,John Sayles
628,802,Bronwen Hughes
629,803,Jon Turteltaub
630,804,Nicole Holofcener
631,805,Edward Burns
632,806,Joel Schumacher
633,808,Michael Corrente
634,809,Fraser C. Heston
635,810,Kevin Hooks
636,813,Paul Michael Glaser
637,818,Howard Franklin
638,823,Arlene Sanford
639,824,Éric Rohmer
640,828,Peter Sehr
641,829,Steve Barron
642,830,John Payson
643,832,Hugh Wilson
644,833,Ron Howard
645,835,Hart Bochner
646,836,Annette Haywood-Carter
647,837,Andrew Davis
648,838,Danny DeVito
649,839,Douglas McGrath
650,840,Tim Pope
651,841,Harry Winer
652,842,Georges Franju
653,848,Gilbert Adler
654,849,Lee David Zlotoff
655,851,John Carpenter
656,852,Julian Schnabel
657,858,Ron Shelton
658,861,Francis Ford Coppola
659,866,Stanley Tong
660,867,Lana Wachowski
661,869,Arthur Hiller
662,870,Robert Altman
663,875,Christopher Cain
664,876,Izidore K. Musallam
665,879,Stanley Tong
666,880,Peter Hyams
667,881,John Frankenheimer
668,882,David Mickey Evans
669,885,David Koepp
670,886,Norman Jewison
671,888,Ernest R. Dickerson
672,889,Roy Allen Smith
673,891,Theo van Gogh
674,892,Joe Chappelle
675,893,Trevor Nunn
676,896,Keith Gordon
677,897,André Téchiné
678,898,Sam Wood
679,899,George Cukor
680,900,Stanley Donen
681,901,Vincente Minnelli
682,902,Stanley Donen
683,903,Blake Edwards
684,904,Alfred Hitchcock
685,905,Alfred Hitchcock
686,906,Frank Capra
687,907,George Cukor
688,908,Mark Sandrich
689,909,Alfred Hitchcock
690,910,Billy Wilder
691,911,Billy Wilder
692,912,Stanley Donen
693,913,Michael Curtiz
694,914,John Huston
695,915,George Cukor
696,916,Billy Wilder
697,917,William Wyler
698,918,Walter Lang
699,919,Vincente Minnelli
700,920,Victor Fleming
701,921,Victor Fleming
702,922,Richard Benjamin
703,923,Billy Wilder
704,924,Orson Welles
705,926,Stanley Kubrick
706,927,Joseph L. Mankiewicz
707,928,George Cukor
708,929,Alfred Hitchcock
709,930,Alfred Hitchcock
710,931,Alfred Hitchcock
711,932,Alfred Hitchcock
712,933,Leo McCarey
713,934,Alfred Hitchcock
714,935,Vincente Minnelli
715,936,Vincente Minnelli
716,937,Ernst Lubitsch
717,938,Billy Wilder
718,940,Vincente Minnelli
719,941,Michael Curtiz
720,942,Rouben Mamoulian
721,943,Otto Preminger
722,944,Joseph L. Mankiewicz
723,945,Frank Capra
724,946,Mark Sandrich
725,947,Ernst Lubitsch
726,948,Gregory La Cava
727,949,George Stevens
728,950,Elia Kazan
729,951,W.S. Van Dyke
730,952,Howard Hawks
731,953,Michael Anderson
732,954,Frank Capra
733,955,Frank Capra
734,956,Howard Hawks
735,959,George Stevens
736,961,John Cromwell
737,963,John Cromwell
738,965,Henry Koster
739,968,Alfred Hitchcock
740,969,George A. Romero
741,970,John Huston
742,971,John Huston
743,973,Richard Brooks
744,976,Frank Capra
745,979,Frank Borzage
746,981,Thaddeus O'Sullivan
747,982,Darrell Roodt
748,984,Joshua Logan
749,986,Richard Schenkman
750,987,Carroll Ballard
751,988,Lance Young
752,990,Allison Anders
753,991,Ringo Lam
754,993,Neil Jordan
755,994,Matthew Broderick
756,996,Campbell Scott
757,998,Walter Hill
758,999,F. Gary Gray
759,1003,John Herzfeld
760,1004,Michael Apted
761,1005,John Gray
762,1006,Robert Lieberman
763,1007,James Foley
764,1008,Norman Tokar
765,1009,Norman Foster
766,1010,John Hough
767,1011,Robert Stevenson
768,1012,Robert Stevenson
769,1013,Robert Stevenson
770,1014,David Swift
771,1015,David Swift
772,1016,Duwayne Dunham
773,1017,Charles Barton
774,1018,Ken Annakin
775,1019,Robert Stevenson
776,1020,Richard Fleischer
777,1021,Jon Turteltaub
778,1022,William Dear
779,1023,Clyde Geronimi
780,1024,Wolfgang Reitherman
781,1025,Norman Ferguson
782,1027,Wolfgang Reitherman
783,1028,Kevin Reynolds
784,1029,Robert Stevenson
785,1030,Samuel Armstrong
786,1031,Don Chaffey
787,1032,Robert Stevenson
788,1033,Clyde Geronimi
789,1034,Ted Berman
790,1035,Matthew Bright
791,1036,Robert Wise
792,1037,John McTiernan
793,1040,Brett Leonard
794,1041,Christopher Hampton
795,1042,Mike Leigh
796,1043,Tom Hanks
797,1046,Michael Pressman
798,1047,Hettie Macdonald
799,1049,Renny Harlin
800,1050,Stephen Hopkins
801,1051,Al Pacino
802,1053,Steve Buscemi
803,1054,John McNaughton
804,1055,Spike Lee
805,1056,George P. Cosmatos
806,1057,Michael Winterbottom
807,1059,Woody Allen
808,1060,Baz Luhrmann
809,1061,Doug Liman
810,1064,Barry Levinson
811,1066,Tad Stones
812,1068,Mark Sandrich
813,1073,Edward Dmytryk
814,1076,Mel Stuart
815,1077,Jack Clayton
816,1078,Woody Allen
817,1079,Woody Allen
818,1080,Charles Crichton
819,1081,Terry Jones
820,1082,Blake Edwards
821,1083,Michael Ritchie
822,1084,Blake Edwards
823,1085,Arthur Penn
824,1086,John Sturges
825,1088,Alfred Hitchcock
826,1089,Emile Ardolino
827,1090,Quentin Tarantino
828,1091,Oliver Stone
829,1092,Ted Kotcheff
830,1093,Paul Verhoeven
831,1094,Oliver Stone
832,1095,Neil Jordan
833,1096,James Foley
834,1097,Alan J. Pakula
835,1099,Steven Spielberg
836,1100,Edwin L. Marin
837,1101,Tony Scott
838,1103,Tony Scott
839,1104,Nicholas Ray
840,1105,Elia Kazan
841,1107,Greg Spence
842,1111,Erik Burke
843,1112,Claude Nuridsany
844,1114,Alan Taylor
845,1116,Abel Ferrara
846,1117,Benoît Jacquot
847,1119,Jaco Van Dormael
848,1120,Peter Cohn
849,1121,Milos Forman
850,1123,Rich Wilkes
851,1124,R.J. Cutler
852,1125,Mark Rydell
853,1126,Blake Edwards
854,1127,Ate de Jong
855,1128,James Cameron
856,1129,John Carpenter
857,1130,John Carpenter
858,1131,Joe Dante
859,1132,Claude Berri
860,1135,Claude Berri
861,1136,Howard Zieff
862,1137,Terry Gilliam
863,1140,Rick Castro
864,1144,Michael Ray Rhodes
865,1147,Susan Warms Dryfoos
866,1148,Leon Gast
867,1150,Nick Park
868,1151,Daniel Vigne
869,1156,Jan Svankmajer
870,1161,Vittorio De Sica
871,1162,Volker Schlöndorff
872,1163,Peter Medak
873,1167,Martine Dugowson
874,1170,Garry Marshall
875,1171,Phillip Rhee
876,1172,Tim Robbins
877,1173,Giuseppe Tornatore
878,1175,Peter Greenaway
879,1176,Marc Caro
880,1177,Krzysztof Kieslowski
881,1178,Mike Newell
882,1179,Stanley Kubrick
883,1180,Stephen Frears
884,1183,Peter Chelsom
885,1184,Anthony Minghella
886,1185,Gabriele Salvatores
887,1186,Jim Sheridan
888,1187,Steven Soderbergh
889,1188,John Sayles
890,1189,Baz Luhrmann
891,1190,Errol Morris
892,1191,Pedro Almodóvar
893,1192,Alek Keshishian
894,1193,Jennie Livingston
895,1194,Milos Forman
896,1196,Lou Adler
897,1197,Irvin Kershner
898,1198,Rob Reiner
899,1199,Steven Spielberg
900,1200,Terry Gilliam
901,1201,James Cameron
902,1202,Sergio Leone
903,1203,Bruce Robinson
904,1204,Sidney Lumet
905,1206,David Lean
906,1207,Stanley Kubrick
907,1208,Robert Mulligan
908,1209,Francis Ford Coppola
909,1210,Sergio Leone
910,1211,Richard Marquand
911,1212,Wim Wenders
912,1213,Carol Reed
913,1214,Martin Scorsese
914,1215,Ridley Scott
915,1216,Sam Raimi
916,1217,Luc Besson
917,1218,Akira Kurosawa
918,1219,John Woo
919,1220,Alfred Hitchcock
920,1221,John Landis
921,1222,Francis Ford Coppola
922,1223,Stanley Kubrick
923,1224,Nick Park
924,1225,Kenneth Branagh
925,1226,Milos Forman
926,1227,John Ford
927,1228,Sergio Leone
928,1230,Martin Scorsese
929,1231,Woody Allen
930,1232,Philip Kaufman
931,1233,Andrei Tarkovsky
932,1234,Wolfgang Petersen
933,1235,George Roy Hill
934,1236,Hal Ashby
935,1237,Hal Hartley
936,1238,Ingmar Bergman
937,1240,Bill Forsyth
938,1241,James Cameron
939,1242,Peter Jackson
940,1243,Edward Zwick
941,1244,Tom Stoppard
942,1245,Woody Allen
943,1246,Joel Coen
944,1247,Peter Weir
945,1248,Mike Nichols
946,1249,Orson Welles
947,1250,Luc Besson
948,1251,David Lean
949,1252,Federico Fellini
950,1253,Roman Polanski
951,1254,Robert Wise
952,1255,John Huston
953,1256,Peter Jackson
954,1257,Leo McCarey
955,1258,Savage Steve Holland
956,1259,Stanley Kubrick
957,1260,Rob Reiner
958,1261,Fritz Lang
959,1262,Sam Raimi
960,1263,John Sturges
961,1264,Michael Cimino
962,1265,Jean-Jacques Beineix
963,1266,Harold Ramis
964,1267,Clint Eastwood
965,1268,John Frankenheimer
966,1269,Allan Moyle
967,1270,Frank Capra
968,1271,Robert Zemeckis
969,1272,Jon Avnet
970,1273,Franklin J. Schaffner
971,1274,Jim Jarmusch
972,1275,Katsuhiro Ôtomo
973,1276,Russell Mulcahy
974,1277,Stuart Rosenberg
975,1278,Jean-Paul Rappeneau
976,1279,Mel Brooks
977,1280,Jim Jarmusch
978,1281,Yimou Zhang
979,1282,Charles Chaplin
980,1283,James Algar
981,1284,Fred Zinnemann
982,1285,Howard Hawks
983,1286,Michael Lehmann
984,1287,Jeannot Szwarc
985,1288,William Wyler
986,1289,Rob Reiner
987,1290,Godfrey Reggio
988,1291,Howard Deutch
989,1292,Steven Spielberg
990,1293,Hal Ashby
991,1295,Richard Attenborough
992,1296,Philip Kaufman
993,1297,James Ivory
994,1298,Martha Coolidge
995,1299,Alan Parker
996,1300,Roland Joffé
997,1301,Lasse Hallström
998,1302,Fred M. Wilcox
999,1303,Phil Alden Robinson
1000,1304,John Huston
1001,1305,George Roy Hill
1002,1306,Wim Wenders
1003,1307,Wim Wenders
1004,1310,Rob Reiner
1005,1312,Doug Pray
1006,1318,Susan Streitfeld
1007,1320,Carl Prechezer
1008,1321,David Fincher
1009,1322,John Landis
1010,1323,Tony Randel
1011,1324,Richard Fleischer
1012,1325,Steve White
1013,1326,John Murlowski
1014,1327,Damiano Damiani
1015,1328,Stuart Rosenberg
1016,1329,Tom Berry
1017,1330,Paul Morrissey
1018,1331,Fred Walton
1019,1332,Robert Wise
1020,1333,John Schlesinger
1021,1334,Alfred Hitchcock
1022,1335,Irvin S. Yeaworth Jr.
1023,1336,Jeffrey Bloom
1024,1337,Eric Red
1025,1339,Robert Wise
1026,1340,Francis Ford Coppola
1027,1341,James Whale
1028,1342,Dan Curtis
1029,1343,Bernard Rose
1030,1344,Martin Scorsese
1031,1345,J. Lee Thompson
1032,1346,Brian De Palma
1033,1347,Paul Schrader
1034,1348,Wes Craven
1035,1349,F.W. Murnau
1036,1350,Augusto Caminito
1037,1351,Richard Donner
1038,1352,Bob Rafelson
1039,1353,Kevin Spacey
1040,1354,Barbra Streisand
1041,1355,Lars von Trier
1042,1356,Ole Bornedal
1043,1357,Jonathan Frakes
1044,1358,Scott Hicks
1045,1359,Billy Bob Thornton
1046,1361,Brian Levant
1047,1363,Joe Berlinger
1048,1365,Penny Marshall
1049,1366,Patrice Leconte
1050,1367,Nicholas Hytner
1051,1370,Stephen Herek
1052,1371,Renny Harlin
1053,1372,Robert Wise
1054,1373,Nicholas Meyer
1055,1374,William Shatner
1056,1375,Nicholas Meyer
1057,1376,Leonard Nimoy
1058,1377,Leonard Nimoy
1059,1378,Tim Burton
1060,1379,Christopher Cain
1061,1380,Geoff Murphy
1062,1381,Randal Kleiser
1063,1382,Patricia Birch
1064,1385,Dwight H. Little
1065,1387,Andrew Davis
1066,1388,Steven Spielberg
1067,1389,Jeannot Szwarc
1068,1390,Joe Alves
1069,1391,Peter Segal
1070,1392,Tim Burton
1071,1393,Alexander Payne
1072,1394,Cameron Crowe
1073,1395,Joel Coen
1074,1396,Barry Levinson
1075,1397,Phil Alden Robinson
1076,1398,Anjelica Huston
1077,1399,Richard Attenborough
1078,1401,Jerry Zaks
1079,1405,Rob Reiner
1080,1406,Mike Judge
1081,1407,Claude Chabrol
1082,1408,Wes Craven
1083,1409,Michael Mann
1084,1411,Nora Ephron
1085,1412,Kenneth Branagh
1086,1413,Terry George
1087,1414,Dan Ireland
1088,1415,Albert Brooks
1089,1416,André Téchiné
1090,1417,Alan Parker
